DW_CLIENTE;customerkey;address_number;business_family;business_unit;customer;customer_type;division;line_of_business;phone;region_code;regional_sales_mgr;search_type
0bc82a53a1802d1d5464b1926d15baac2543dd245f88302357f9206f451b04ac;10025246;10025246;R3;1;TECC Shop;G3;1;\"\";816-455-8733;0;S5;C
d5bd2eb02534a43d9d03f553b0ac87fa6ebb5d6c06512691b2c8552ba73e33ef;10007253;"";O2;1;C3 Supermarket;G2;1;\"\";816-455-8733;5;S12;C
1ea3605621246b917d77783e7832b59333cffe5a00afcadda3f2eb6de725f213;10026038;"";R3;1;Velos Supermarket;G1;1;M1;816-455-8733;5;S19;C
b169ffe571eaf292b50d01bbdf999dd97b0982fe527b52167f06286abbf148dd;10025778;10025778;R3;1;Valicert Midstore;G2;2;\"\";816-455-8733;1;S16;C
79bfc8a6b6a2716eb2efbc5e8912a6173a59fc85c50be6a4402fa0a6fc3f9962;10027050;10027050;R3;1;Your Market;G2;2;\"\";816-455-8733;4;S9;C
983395eb7798f2e2f97480d6574b4348e6f9b5bc480160274febe44d33b9f72a;10014264;10014264;R3;1;Harbour Store;G2;2;\"\";816-455-8733;4;S1;C
0c703645867ff2d69143e8503acfaf59a8b7bfef01d5d176482b522aa9bdfe41;10023964;"";R3;1;Science Store;G3;1;\"\";816-455-8733;5;S5;C
bcc0246c6db7d12df5e5e547faf24fb4f34163495a8b6c1ed5cc70d0ea468c2a;10023212;10023212;R3;1;Reuters Supermarket;G2;2;\"\";816-455-8733;1;S1;C
353631ac8a68de21318958899927744e386cd2755274904f3baff1d76a313de5;10018644;10018644;R3;1;Kabbalah Shop;G2;2;M1;816-455-8733;4;S16;C
052fb75e27e1edce8c4d3e6c5ffa9b14063f66d7296598971ad7274e3d5b96be;10025038;10025038;R2;1;Tanager Shop;G2;2;\"\";816-455-8733;3;S11;C
9b840927a9d44f523366222247c335e566301269752c3cca48e55e703ba6f333;10004255;10004255;R3;1;Bendix Store;G1;1;M1;816-455-8733;5;S19;C
a21b5590943dce2cd515b7f6297b07e83133e8922886def334a7794b8ade1941;10022168;10022168;R1;1;QualServe Shop;G2;2;\"\";816-455-8733;4;S11;C
bfc797b0d7df97220a16cecb7ed8eeffea45b978f01cce94e0db0c5a142482a3;10009662;10009662;R3;1;De Store;G2;2;\"\";816-455-8733;3;S1;C
e73c6c3de23f272a14935c40fd00cdda4620441de9e62d13106e486b9d6e134b;10004602;"";R3;1;Best Supermarket;G2;1;\"\";816-455-8733;5;S16;C
265c03fc2be0243d76ab4106aaff238cf3f5f476667e2fe550f3edcda313ae8b;10024743;10024743;R3;1;Stone Supermarket;G2;2;\"\";816-455-8733;1;S1;C
13085adcd7d4e938cd208158a63c163ea65fb9fab933635d311efffab767c7a4;10009652;10009652;R1;1;Dci Shop;G3;1;\"\";816-455-8733;0;S21;C
4df8d1b156d25559b36b030ff4cc2d225c9318af189fbcd02114c07fabbee48d;10021911;10021911;R3;1;Ping Shop;G2;2;M1;816-455-8733;2;S16;C
48fcfdb73cb4ffcda8aca7ff702eec32c44181e81e6890466f21ddf879ddfaee;10019066;"";R3;1;KENROB Megaplace;G2;1;\"\";816-455-8733;5;S1;C
6505aef350ed2f8e7e8b5b38f391010585ad4d7cad160285e6ba6c5a2b17d5c6;10025239;10025239;R3;1;Teamaker Shop;G2;1;\"\";816-455-8733;5;S16;C
85b3a7f60bd9a7de63957e013100e37b19fab241e9dfada38dcc528353da259d;10024016;10024016;R3;1;Screen Supermarket;G1;1;M1;816-455-8733;5;S19;C
7292d5b3ad3468980b1cfa2ced053757eb977fde7ef594ff55c8467a856ddf93;10013079;"";R3;1;Gandalf Supermarket;G2;1;\"\";816-455-8733;5;S16;C
0dd96563920f73729f81323c64098be321e94d72dc15a7b5ac161a38708a4e30;10013052;"";R3;1;GammaGraphX Store;G2;1;\"\";816-455-8733;5;S16;C
050af49cb6fd1227a1dc5c43498e442fb24c062b4743350acfc5be05996b3b04;10020982;"";R3;1;Outsource Store;G2;1;\"\";816-455-8733;5;S1;C
68df6283b2782fceff066adf15e258aecfe43b11854462889be81b28cf6034ca;10005688;"";R3;1;Bien Supermarket;G2;1;\"\";816-455-8733;5;S9;C
a381a345b70d14b9bc334781ca3a087acfd42762ee21b907ddf361608c7ec21b;10027340;10027340;R3;1;Zentrum Market;G2;2;\"\";816-455-8733;3;S16;C
e3b397d2de6911884b4b32dab25eef8b0918b5fd334bc0a75fe10c034c36e47f;10027356;10027356;R3;1;Zero Market;G2;2;\"\";816-455-8733;4;S1;C
87cdb6e25110248f93e64b501a216e81fcea0f24fd84ea85675ac0746dc7914b;10000488;"";R3;1;ABI Supermarket;G1;1;M1;816-455-8733;5;S19;C
aeb4edc5032c4a42ae8f5d8c61aaedef02ce4103aaf105cbd607c8c708dddd4b;10025549;10025549;R2;1;UNIS Supermarket;G2;2;\"\";816-455-8733;3;S5;C
ff911caddd51899246753cfbebae36fc37ce17161b3e23726f0e343ed2eb0e1a;10011623;"";R2;1;Federal Supermarket;G2;1;\"\";816-455-8733;5;S3;C
286e77701fb3d1f5d204b67fd84fdebcffe2c4178f6ffbb30973b925ec6c607b;10011979;10011979;R3;1;FiberPlex Shop;G1;1;M1;816-455-8733;5;S19;C
cfdc718ffd091d9980b481e3828c49867a3adb62ba38f0dbc279355abdd737bb;10025037;10025037;R2;1;Tampere Shop;G2;2;\"\";816-455-8733;1;S4;C
fcca176b03edd3dd42d419f7735745defc227591d3ae87085169914bdc7c8a74;10002159;"";R3;1;ACI Shop;G1;1;M1;816-455-8733;5;S19;C
8fbb7e4a0a22616d877cc1198f3a4997fbccd0469f95020d34b807eb0594ff58;10000472;10000472;R3;1;Aaron Store;G2;2;\"\";816-455-8733;1;S4;C
9c04a8a31bf28ee9b707aa075bec6cc5ef638839054319e2072a13cf1a37a94e;10018628;10018628;R2;1;K.C. Supermarket;G2;2;\"\";816-455-8733;1;S5;C
5f856af15931bf3f242893cc937e9b0a4d0cb862b3902542c591d94aa2f03e61;10022444;10022444;O2;1;R.J. Market;G2;2;\"\";816-455-8733;4;S12;C
4918b10a5a99c4b650f31d0a8c11aaae4595d34bb6bf4ddd94c42addef985fcf;10017638;10017638;R3;1;Kellys Gigastore;G2;2;\"\";816-455-8733;3;S16;C
d4c6446c300e2ab11311daa202d9bcdb1e8edf699697545ac903a7c4b16e50e8;10025251;10025251;R2;1;Time Supermarket;G2;2;\"\";816-455-8733;4;S5;C
ee198daf134968d62d965702408508696162dce05f330774f1e65e7369ef6ba1;10025248;10025248;R3;1;Telus Store;G2;2;\"\";816-455-8733;1;S16;C
51fcd69aacc644a40d41e87b477a7fde8dadf9a174c3d1ac6f1aec56cff1a095;10024924;"";R3;1;T.M. Store;G1;1;M1;816-455-8733;5;S16;C
dd7f96e0f20b1c602c5fc8dc37868c046cc9314dc15b90c9a5a0d48ba497f995;10026023;"";R3;1;VEI Shop;G2;1;\"\";816-455-8733;5;S15;C
59cf4a4f663db5626b9de4b5833942cad65e36f535fbfa9e550ff86be921977d;10026294;"";R3;1;Wasabi Shop;G1;1;M1;816-455-8733;5;S19;C
409c782abcdfd119865fb2e1ced38e2924771adf3355b16f2d9faf5aba15cb4e;10021936;10021936;R3;1;Pink Supermarket;G2;2;\"\";816-455-8733;2;S16;C
d665b1a5d9edb6e62794443304190feb4523eae0f5ba8ba298d81fccdb6949e1;10011546;"";R3;1;Farrell Supermarket;G2;1;\"\";816-455-8733;5;S1;C
81a24490bfd5575d6a4c2250111c6965634a6299019a312d6efb450eb7819e0b;10027082;10027082;R3;1;ySecret Shop;G3;1;\"\";816-455-8733;0;S5;C
2075eeabcd89d5c32d07ccd05b5dea6f4dee16b9f7f4a83075165afcdcf7ab37;10001818;"";R3;1;Acc Supermarket;G2;1;\"\";816-455-8733;5;S16;C
86c1dcd16d949fac16c253f3b9ad724d28378b83b971129afa773d28316e2a6f;10023241;10023241;R1;1;Revnet Market;G2;2;\"\";816-455-8733;2;S11;C
2d893c9d72f2fdee6f8bee4fe6d319c8d24251f0f9c618cb8cf01576724c3142;10019665;10019665;R3;1;Labatt Supermarket;G2;2;M1;816-455-8733;4;S16;C
9bcec10115cdc5d12ba4662bb042ce3fa4b665a130bc49f5e2a74571d4fd5a36;10025036;10025036;R3;1;Tampa Market;G2;2;\"\";816-455-8733;4;S9;C
988d869a531fad4b9cdfe2f44045ed3e5b52bceb5a4d2f697cfee43e9aedc8db;10022490;10022490;R3;1;Racal-Datacom Shop;G2;2;M1;816-455-8733;4;S16;C
1296fd7acb1278ff25261cbd708a428df4d3e4a09088e83a4811c5866f01534d;10026521;10026521;R3;1;Xcert Shop;G1;1;M1;816-455-8733;5;S20;C
e3091fa30c7a22a41a0a080a03d748703bd422b85a2165e311c7d6d8c1616ef7;10012715;10012715;R3;1;Fokas Midstore;G2;2;M1;816-455-8733;3;S16;C
60200caa049009fb597b0f7d5ae67727ca1ff7366fc2d1bc20044828f38e8653;10021239;"";R3;1;PADL Shop;G2;1;\"\";816-455-8733;5;S1;C
d5a2296d38c1b346a5251396e75624b145091f1cc89ee628a47e7747e363fd11;10012128;"";R3;1;Fifth Supermarket;G3;1;\"\";816-455-8733;5;S5;C
0bd53d4233acdd2ebf23a5ff81d8b41c558dc7d19b7137d542d56c4fa3d8af44;10021736;"";R3;1;Patton Store;G1;1;M1;816-455-8733;5;S19;C
aa5afb2cf665a0a29a773bfec061b9452876a4c26c9361a3798644f6cb16e2dc;10020639;10020639;R2;1;NECX Market;G2;2;\"\";816-455-8733;2;S5;C
142cf6c32d0c2bc3d35b5aa4c8f1a83bb7af6df37f38322f6975cb46a024d76c;10025575;10025575;R3;1;United Market;G3;1;\"\";816-455-8733;0;S5;C
db5a999e78afc3e2d3224269186e5b9a0fce6cd3aef93812874f98b810f66650;10009676;10009676;R3;1;Pereras;G2;2;\"\";816-455-8733;4;S16;C
36e7dc80983edd25926e65c575059b7a03762266829cc46b3f2dbeb74d82ffe9;10021286;"";R3;1;PagePoint Shop;G2;1;\"\";816-455-8733;5;S1;C
9a1139c1f92aa6bf69e75c457fcbf22191a650eb5185cb772f0084898db34b80;10015030;10015030;R2;1;Hegemony Shop;G2;2;\"\";816-455-8733;1;S5;C
261169141b1b9b49a49efab5e958e2347ef315414d6edb9ef34cc58373d6c643;10018363;10018363;R3;1;Jones Stores;G1;1;M1;816-455-8733;5;S18;C
2bed0f44372146fe81b2d583755336f3be9997ddb4a54ef3d216977493ff4fa3;10002969;10002969;R3;1;activeDesign Shop;G2;2;\"\";816-455-8733;3;S1;C
b0a03d0209524c446e1ff55cd56eecdfc598347f6b3eb0dbc51ea84f333bd01d;10022687;10022687;R3;1;Ravenwerks Shop;G3;1;\"\";816-455-8733;0;S5;C
85c0d8fb8529ad3dd0f2adbd03cbab53f937c3b5558e517e38225164f39145a7;10025264;10025264;R3;1;Today Shop;G2;2;\"\";816-455-8733;1;S16;C
c90a21370a629f2b9aacc0f8bbb0fc6c44f25410df722a791298bfc6b398a95c;10016542;10016542;O2;1;Holy Supermarket;G2;2;\"\";816-455-8733;2;S12;C
c64a5417df658fcbc558b08b42b6e7dc7b7a167e2bc009f1aa06f83d9dcf2b0b;10023235;10023235;R2;1;ReviewBooth Shop;G2;2;\"\";816-455-8733;2;S3;C
1631b08c5cfbdbf6ba2cf44fd049b9c2fc55f3370a1cd6540c949c2b516e6ee7;10022167;10022167;R3;1;Quallaby Megaplace;G1;1;M1;816-455-8733;5;S16;C
d1284520d095a3619429a713b86c3c4ab20b29d2c0c356cddb3fc05c232be4fb;10025299;10025299;R3;1;U.S. Market;G3;1;M1;816-455-8733;0;S5;C
6c78fbe6a22fc60d6063d71624ad4bb9fca4a1fc9c275200c30d40e21ffd1017;10010832;"";R2;1;?change Store;G2;1;\"\";816-455-8733;5;S11;C
661e4387cba2288b0ac043a41b7a5df29225bafd5ae9ab8287e821b51011a604;10018623;10018623;R1;1;K&M Supermarket;G2;2;\"\";816-455-8733;2;S5;C
c0f85f3d5713ff86e42a84072fb7de049dc06a86e5f20f615e7ace95fcb01c4e;10023785;10023785;R2;1;Satyam Shop;G2;2;\"\";816-455-8733;4;S5;C
bad448221e89a9b4fd8f7eeeaa8e20690ca8f10245e9958666d41018e9ed0722;10025158;"";R3;1;Taskers Supermarket;G1;1;M1;816-455-8733;5;S19;C
264edc41e23723dc83d091897b6d8a85991c4c3e598534cc1a0cbd3c7215f86e;10023447;10023447;R3;1;RKS Shop;G2;2;M1;816-455-8733;2;S16;C
e92d12d85ba25567a9465974dcbc9dd0fc77a1796640ea0d0c8f9b4f1803f58c;10021300;"";R2;1;PageWave Megastore;G2;1;\"\";816-455-8733;5;S9;C
88fb5ac6900fbfc5081a032e77160fc1444b7351be19e9c859e77d7c14d61cc2;10026522;10026522;R3;1;XCOM Shop;G2;2;\"\";816-455-8733;4;S16;C
95c83038ac11d666b870ca200d6a60e4d33e17bbafea4d47261a0afaecdaaac8;10024725;10024725;R3;1;Stone Market;G2;2;\"\";816-455-8733;2;S16;C
3dd550f9cbc8b9539bd08b5fa28c4be91b1bdeb9cafed1ce89dfdf8d2d490088;10002140;"";R3;1;Accton Shop;G2;1;\"\";816-455-8733;5;S16;C
f03684dbb081fd7a6189cf1ddfefdf65aeecef195babff923cfa786bacb52d3f;10025242;10025242;O2;1;Teamsolve Shop;G1;1;\"\";816-455-8733;5;S1;C
a47e4689ff997048e2b49a1413b3180bb7d3f1816c08f1aa299436ce3eb2df6a;10025758;10025758;R3;1;UTStarGate Shop;G2;2;\"\";816-455-8733;2;S16;C
be699bf8098aaf766b91b82b5a4fdd5d6aeab42800a49a85903926547bc051d5;10006836;10006836;R3;1;Biz-comm Shop;G1;1;M1;816-455-8733;5;S16;C
5496a68248f0024e1fa1c5e8e7ff42ead015bf5b64d8ccd09d98f7c477086aa5;10013538;"";R3;1;GEAR Shop;G2;1;\"\";816-455-8733;5;S16;C
6eef2b814e4de0caef9c90e0ffd5313feb74a688ad6c6edd283a72525986cc39;10010935;10010935;R2;1;Edna Megaplace;G2;2;\"\";816-455-8733;4;S5;C
cf295a09a03eed6365599da2f8f4df32a4ba2a8c59ccf493e12fedecd2cd64f5;10024704;"";R3;1;Sterling Store;G2;1;\"\";816-455-8733;5;S1;C
1422fa5505f87826dac7e583a5205f57ffff0c3b2137eec4ea1c894960bf6e44;10019952;"";O2;1;Lobster Market;G2;1;\"\";816-455-8733;5;S12;C
95311cb03de98b976f1d0de40c58ced21463c963dde2470f5ffdb9fc80147b53;10014803;10014803;R3;1;HCHS Shop;G2;2;\"\";816-455-8733;4;S16;C
8457ffe477aebfaf608ff2e0e2c91214a403b0db54e569f7a3f07e8930723fb3;10009660;10009660;R1;1;DDR Shop;G2;2;\"\";816-455-8733;2;S22;C
9ef902bb2a530caeaebb1a2494f901c93dde78c21fad524cb3b8bdb639b68b71;10023780;10023780;R3;1;SAT-SAGEM Supermarket;G1;1;M1;816-455-8733;5;S16;C
e4219e0f9b5edfcd61bd0e7f0d6c481cdd3788de50fc5fac58bf907a748d149c;10009885;10009885;R3;1;Degolyer Supermarket;G3;1;\"\";816-455-8733;0;S5;C
353143b3ab907b0ede69759b84c74adaf501896b7ca2aa0ecc0d86637947c5c7;10023495;"";R3;1;Safe Shop;G1;1;M1;816-455-8733;5;S19;C
9793f2e5a5d3ea6f35220ba11841a0b71fc24ea8294d4ada63b51bcbfdfaa021;10002144;"";R2;1;ACCUCOMP Shop;G3;1;\"\";816-455-8733;5;S8;C
7d21fc9f8c2e9b36dbd4b6ac65815ade4cfa3d8b2a2ba2654b2b4f46c7a09f30;10009356;10009356;R1;1;Central Supermarket;G2;2;\"\";816-455-8733;4;S11;C
d9dc538e5fe03ab2ef88e8fc389a7b33731937ef004f1a7731e82cbd09edf103;10010887;10010887;R3;1;Edia Shop;G3;1;\"\";816-455-8733;0;S5;C
285bad88dcbbf9198b7d779161c142b68e68baebcf759892f5a8a45b17bb08d8;10009672;10009672;R3;1;DEAC Shop;G2;2;\"\";816-455-8733;1;S16;C
0f1874296d306273bed2148bbc1be6dad3863af22410349b4fc4d2690c074c80;10013899;"";R3;1;Grumman Market;G2;1;\"\";816-455-8733;5;S1;C
992ab3adfee594bdb095c9db688112aaf9efd9cd1fabe533b05f9b76e74d69e7;10013080;"";R3;1;Ganymede Shop;G2;1;\"\";816-455-8733;5;S16;C
61af20d71d948e304a83bc093497bad49ec25a10ad6a79b475329ae57e142a95;10014546;10014546;R3;1;Hauppauge Supermarket;G2;2;\"\";816-455-8733;1;S16;C
24c5e84a97efa5a2dfc24181f5f1e9bbea6ef09264e3eacf20b1a966d0262fb0;10012305;"";R3;1;FIND/SVP Shop;G2;1;\"\";816-455-8733;5;S9;C
818a6cd9205d8acfa3b06bd40901fc20e5bb8cf30733f962afda260a07ff308c;10007566;10007566;R2;1;Cambio Shop;G2;2;\"\";816-455-8733;4;S9;C
24902e90fb2675dba297c4b8fe278ed4502b8d46ac7601fa662db6a17038a7ea;10011018;"";R3;1;Eloi Supermarket;G2;1;\"\";816-455-8733;5;S1;C
9b656c248e35baba953e03192723987dd26245f3654ad9cc4991a4fec8dea2e3;10011052;"";R3;1;Elucidex Shop;G2;1;\"\";816-455-8733;5;S16;C
e4766c60f0e4f09c7ad37e4f149a339e1aedf78dbf927938c27121a7f5b64efa;10009623;10009623;R3;1;Chas Market;G2;2;\"\";816-455-8733;2;S16;I
4ea2d6bb451899fddc53263f6886dc1eee1068ff7825f29e9610e37a8c6d416e;10026299;10026299;R3;1;Watcom Maxistore;G2;2;\"\";816-455-8733;2;S16;C
8cd98f14d78468ff981e0c0398c5928a1cbe96cfe273083501fb7a07c670f94f;10015824;10015824;R2;1;Heurikon Shop;G2;2;\"\";816-455-8733;4;S5;C
57e87eda8876ef4e3de4f979723f9d02bf6d6ab7ceccc6624884fd51d4004493;10020080;"";O2;1;Lucky Shop;G2;1;\"\";816-455-8733;5;S12;C
